latitude,longitude,Camp_ID,CiC_Camp,Settlement,Site_name,New_Camp_N,Union_1,Shape_Leng,New_Camp_S,District,Shape_Area,Upazila
20.97964626,92.2452587,,,Host Communities,Leda D,Leda D (Alikhali),Nhilla,4550.986309,CXB-017,Cox's Bazar,444806.8188,Teknaf
20.96006132,92.25006844,,,Host Communities,Nayapara EXP,Nayapara EXP (Noyapara Muchoni - Nuralipara),Nhilla,10687.71291,CXB-025,Cox's Bazar,1073392.118,Teknaf
21.07825709,92.14245634,,,Host Communities,Shamlapur,Shamlapur,Baharchhara,7356.388276,CXB-032,Cox's Bazar,2676779.648,Teknaf
20.93812697,92.26020912,,,Host Communities,Jadimura,Jadimura,Nhilla,10415.58734,CXB-037,Cox's Bazar,1697843.581,Teknaf
20.97445536,92.24700278,,,Host Communities,Leda C,Leda C (Moulovipara),Nhilla,2635.169044,CXB-038,Cox's_Bazar,205857.4977,Teknaf
20.97413862,92.2440202,,,Makeshift Settlement,Leda MS,Leda MS,Nhilla,2019.793859,CXB-041,Cox's Bazar,91609.91305,Teknaf
20.96969646,92.24549837,,,Host Communities,Leda A,Leda A (Chonapara - Paschimpara),Nhilla,3630.877874,CXB-044,Cox's Bazar,553377.9474,Teknaf
20.97106344,92.25084387,,,Host Communities,Leda B,Leda B,Nhilla,3751.247473,CXB-047,Cox's Bazar,375796.4209,Teknaf
21.08911039,92.19777485,,,Spontaneous Site,Unchiprang,Unchiprang,Whykong,2528.873055,CXB-085,Cox's Bazar,453940.2138,Teknaf
20.95711838,92.25000447,,,Refugee Camp,Nayapara RC,Nayapara Refugee Camp (Before 2017),Nhilla,3940.734337,CXB-089,Cox's Bazar,271382.2279,Teknaf
21.13327148,92.15750009,,,Spontaneous Site,Chakmarkul,Chakmarkul,Whykong,2447.882105,CXB-108,Cox's Bazar,344456.2841,Teknaf
21.21653313,92.15565977,Camp 1E,1E,Spontaneous Site,Lambashia,Camp 1E (northern CC zone and north no zone),Palong Khali,4790.155567,CXB-201,Coxs_Bazar,633583.0094,Ukhia
21.21342008,92.15234753,Camp 1W,1W,Spontaneous Site,,Camp 1W (northern BB zone and southern CC zone (Modhurchara)),Palong Khali,4109.985315,CXB-202,Coxs_Bazar,534393.9603,Ukhia
21.20780764,92.16433523,Camp 2E,2E,Spontaneous Site,,Camp 2E (east part of KMS),Palong Khali,4748.844758,CXB-203,Coxs_Bazar,389321.9443,Ukhia
21.20891244,92.15832283,Camp 2W,2W,Spontaneous Site,,Camp 2W (northwestern part of KMS),Palong Khali,4071.505703,CXB-204,Coxs_Bazar,398445.0354,Ukhia
21.2091658,92.14916441,Camp 3,3,Spontaneous Site,Modur Chora,"Camp 3 (eastern DD zone, eastern AA zone and northern EE zone (Moshur chara))",Palong Khali,3685.426553,CXB-205,Coxs_Bazar,453561.4214,Ukhia
21.20827358,92.14290896,Camp 4,4,Spontaneous Site,,"Camp 4 (OO zone, northern UU and PP zones and western DD zone (Lambashia, Modhurchara))",Palong Khali,5073.154001,CXB-206,Coxs_Bazar,1148345.228,Ukhia
21.20312163,92.16529654,Camp 7,7,Spontaneous Site,Gundum,"Camp 7 (GG zone, eastern FF and southeastern KMS)",Palong Khali,4559.526817,CXB-207,Coxs_Bazar,714085.4957,Ukhia
21.20395533,92.15685815,Camp 6,6,Spontaneous Site,,Camp 6 (western FF zone and sourthwestern corner KMS),Palong Khali,3566.871552,CXB-208,Coxs_Bazar,362013.6692,Ukhia
21.20220029,92.15081425,Camp 5,5,Spontaneous Site,,"Camp 5 (EE zone, eastern QQ, western PP and southern DD zones)",Palong Khali,4329.308567,CXB-209,Coxs_Bazar,615297.1997,Ukhia
21.1955581,92.16496591,Camp 8E,8E,Spontaneous Site,Jomer Chora,"Camp 8E (KK zone, II zone and eastern HH zone (pashchim balikhali area))",Palong Khali,5714.413618,CXB-210,Coxs_Bazar,956550.6601,Ukhia
21.19679049,92.15408375,Camp 8W,8W,Spontaneous Site,,"Camp 8W (RR zone, eastern HH zone and northern JJ zone)",Palong Khali,4970.272517,CXB-211,Coxs_Bazar,772181.1193,Ukhia
21.1975272,92.14319165,Camp 17,17,Spontaneous Site,,"Camp 17 (VV zone, western WW and QQ zones)",Palong Khali,5115.864793,CXB-212,Coxs_Bazar,890220.0007,Ukhia
21.18999119,92.16031273,Camp 9,9,Spontaneous Site,,Camp 9 (Balukhali MS and eastern JJ zone),Palong Khali,4114.334346,CXB-213,Coxs_Bazar,649082.8037,Ukhia
21.18974346,92.15425876,Camp 10,10,Spontaneous Site,,"Camp 10 (MM zone, southwestern JJ zone and eastern SS zone)",Palong Khali,3730.574663,CXB-214,Coxs_Bazar,496145.4302,Ukhia
21.18897613,92.14759002,Camp 18,18,Spontaneous Site,,"Camp 18 (XX zone, SS zone and southeastern corner WW zone)",Palong Khali,4551.987153,CXB-215,Coxs_Bazar,751676.6639,Ukhia
21.19092376,92.1402373,Camp 20,20,Spontaneous Site,,Camp 20 (ZZ zone),Palong Khali,3982.396464,CXB-216,Coxs_Bazar,498532.0793,Ukhia
21.18276001,92.15574869,Camp 11,11,Spontaneous Site,,"Camp 11  (southern NN and north-east TT zone (Mannerghona, Balukhali 2))",Palong Khali,3713.860439,CXB-217,Coxs_Bazar,466019.4402,Ukhia
21.17984846,92.15180694,Camp 12,12,Spontaneous Site,,Camp 12 (TT zone and eastern YY zone (Mannerghona)),Palong Khali,4319.774737,CXB-218,Coxs_Bazar,631138.4493,Ukhia
21.18302994,92.14289576,Camp 19,19,Spontaneous Site,Tasnimarkhola-Burmapara,Camp 19 (ZA zone and southern YY zone),Palong Khali,4743.370316,CXB-219,Coxs_Bazar,714047.7679,Ukhia
21.17858781,92.13988946,Camp 13,13,Spontaneous Site,Tasnimarkhola-Burmapara,Camp 13 (Thangkhali / Burmapara / Tasnimarkhola),Palong Khali,4067.526774,CXB-220,Coxs_Bazar,746560.2447,Ukhia
21.21208279,92.16380142,KRC,,Refugee Camp,Kutupalong RC,Kutupalong Refugee Camp (before 2017),Raja Palong,3092.176815,CXB-221,Coxs_Bazar,381339.6678,Ukhia
21.16719356,92.14461504,Camp 14,14,Spontaneous Site,Hakimpara,Camp 14 (Hakimpara),Palong Khali,4609.728244,CXB-222,Coxs_Bazar,797892.4133,Ukhia
21.16054342,92.1430221,Camp 15,15,Spontaneous Site,Jamtoli-Baggona,Camp 15 (Jamtoli),Palong Khali,4610.948903,CXB-223,Coxs_Bazar,894276.8098,Ukhia
21.15649186,92.14959179,Camp 16,16,Spontaneous Site,Safiullahkata-Putibonia,Camp 16 (Bagghona/Potibonia),Palong Khali,3338.284105,CXB-224,Coxs_Bazar,422619.6492,Ukhia
20.93870872,92.25987629,Jadimura,,,,Jadimura,Nhilla,,CXB-037,Coxs_Bazar,,Teknaf
20.96848258,92.24519386,Leda A (Chonapara - Paschimpara),,,,Leda A (Chonapara - Paschimpara),Nhilla,,CXB-044,Coxs_Bazar,,Teknaf
20.97208778,92.25004633,Leda B,,,,Leda B,Nhilla,,CXB-047,Coxs_Bazar,,Teknaf
20.97374263,92.24695572,Leda C (Moulovipara),,,,Leda C (Moulovipara),Nhilla,,CXB-038,Coxs_Bazar,,Teknaf
20.97930981,92.24561897,Leda D (Alikhali),,,,Leda D (Alikhali),Nhilla,,CXB-017,Coxs_Bazar,,Teknaf
20.95830573,92.25072835,Nayapara EXP (Noyapara Muchoni - Nuralipara),,,,Nayapara EXP (Noyapara Muchoni - Nuralipara),Nhilla,,CXB-025,Coxs_Bazar,,Teknaf
21.0778442,92.13952494,Shamlapur,,,,Shamlapur,Baharchhara,,CXB-032,Coxs_Bazar,,Teknaf
21.57771669,92.16899175,Ali Kong,,,,Ali Kong,Idgar,,CXB-071,Coxs_Bazar,,Ramu
21.4397327,91.99676356,Alirjhaha,,,,Alirjhaha,Jhilwanja,,CXB-077,Coxs_Bazar,,Cox's Bazar Sadar
21.48626632,92.08850245,Barmapara,,,,Barmapara,Joarianala,,CXB-067,Coxs_Bazar,,Ramu
21.39697877,92.0040505,Borchora,,,,Borchora,Jhilwanja,,CXB-079,Coxs_Bazar,,Cox's Bazar Sadar
21.17538691,92.05449693,Dariardighi,,,,Dariardighi,Khuniapalong,,CXB-104,Coxs_Bazar,,Ramu
21.45331187,91.96180466,Dhokkin Kutubdiapara,,,,Dhokkin Kutubdiapara,Khurushkul,,CXB-074,Coxs_Bazar,,Cox's Bazar Sadar
21.48899093,92.19630895,Ghonarpara,,,,Ghonarpara,Garjania,,CXB-069,Coxs_Bazar,,Ramu
21.58054264,92.14564847,Hasankata,,,,Hasankata,Idgar,,CXB-070,Coxs_Bazar,,Ramu
21.54631468,92.07776391,Idgaon,,,,Idgaon,Idgaon,,CXB-081,Coxs_Bazar,,Cox's Bazar Sadar
21.36471472,92.02235521,Kainda Vangga,,,,Kainda Vangga,Khuniapalong,,CXB-083,Coxs_Bazar,,Ramu
21.44889109,92.18123048,Kiyajor Beel,,,,Kiyajor Beel,Garjania,,CXB-068,Coxs_Bazar,,Ramu
21.56083759,92.14528225,Kodaliyakata,,,,Kodaliyakata,Idgar,,CXB-072,Coxs_Bazar,,Ramu
21.41847086,92.0256968,Mohoripara,,,,Mohoripara,Jhilwanja,,CXB-080,Coxs_Bazar,,Cox's Bazar Sadar
21.31727,92.095157,Moriccha,,,,Moriccha,Khuniapalong,,CXB-065,Coxs_Bazar,,Ramu
21.4597574,91.95247933,Najirarthek,,,,Najirarthek,Khurushkul,,CXB-073,Coxs_Bazar,,Cox's Bazar Sadar
21.43257444,91.98444878,Pahartoli,,,,Pahartoli,Jhilwanja,,CXB-082,Coxs_Bazar,,Cox's Bazar Sadar
21.44537236,91.98114135,Peshkar Para,,,,Peshkar Para,Cox's Bazar Paurashava,,CXB-076,Coxs_Bazar,,Cox's Bazar Sadar
21.30250123,92.0486143,Rejukhal,,,,Rejukhal,Khuniapalong,,CXB-084,Coxs_Bazar,,Ramu
21.40041268,91.99783414,Shuknachari,,,,Shuknachari,Jhilwanja,,CXB-078,Coxs_Bazar,,Cox's Bazar Sadar
21.44682569,91.95748339,Somitipara,,,,Somitipara,Khurushkul,,CXB-075,Coxs_Bazar,,Cox's Bazar Sadar
21.35820823,92.11445044,Thuaingakata,,,,Thuaingakata,Khuniapalong,,CXB-066,Coxs_Bazar,,Ramu
20.82130118,92.29143508,Alir Dail,,,,Alir Dail,Sabrang,,CXB-001,Coxs_Bazar,,Teknaf
21.159415,92.17525,Anjumanpara,,,,Anjumanpara,Palong Khali,,CXB-095,Coxs_Bazar,,Ukhia
21.017589,92.186292,Baharchora,,,,Baharchora,Baharchhara,,CXB-003,Coxs_Bazar,,teknaf
21.1563809,92.06953825,Bailakhali,,,,Bailakhali,Jalia Palong,,CXB-030,Coxs_Bazar,,Ukhia
21.170199,92.15685,Balukhali Damonkhali,,,,Balukhali Damonkhali,Palong Khali,,CXB-039,Coxs_Bazar,,Ukhia
21.33574229,92.13381232,Borbil,,,,Borbil,Haldia Palong,,CXB-063,Coxs_Bazar,,Ukhia
21.27356416,92.15728374,Chakboita,,,,Chakboita,Ratna Palong,,CXB-062,Coxs_Bazar,,Ukhia
21.33882337,92.11646678,Changchori,,,,Changchori,Jalia Palong,,CXB-016,Coxs_Bazar,,Ukhia
20.86718027,92.30344569,Chowdhurypara (Boat landing point on Marine drive),,,,Chowdhurypara (Boat landing point on Marine drive),Teknaf Paurashava,,CXB-058,Coxs_Bazar,,Teknaf
21.115889,92.1755,Dainggakata,,,,Dainggakata,Whykong,,CXB-105,Coxs_Bazar,,Teknaf
20.86259012,92.30306112,Dakkhin Jaliapara,,,,Dakkhin Jaliapara,Teknaf Paurashava,,CXB-057,Coxs_Bazar,,Teknaf
21.27321864,92.05064828,Deilpara,,,,Deilpara,Jalia Palong,,CXB-005,Coxs_Bazar,,Ukhia
21.14244289,92.15002712,East Palongkhali,,,,East Palongkhali,Palong Khali,,CXB-006,Coxs_Bazar,,Ukhia
21.2182722,92.13152369,Foliya Para,,,,Foliya Para,Raja Palong,,CXB-007,Coxs_Bazar,,Ukhia
21.13554288,92.17093943,Ghilatoli,,,,Ghilatoli,Whykong,,CXB-046,Coxs_Bazar,,Teknaf
21.15045183,92.14586038,Goyalmara,,,,Goyalmara,Palong Khali,,CXB-008,Coxs_Bazar,,Ukhia
21.23329689,92.16354587,Hajimmapara (Hajammapara),,,,Hajimmapara (Hajammapara),Raja Palong,,CXB-009,Coxs_Bazar,,Ukhia
21.22308747,92.15922309,Hindupara,,,,Hindupara,Raja Palong,,CXB-106,Coxs_Bazar,,Ukhia
21.14239447,92.08179268,Immamer Deil,,,,Immamer Deil,Jalia Palong,,CXB-010,Coxs_Bazar,,Ukhia
21.24139021,92.04963454,Inani,,,,Inani,Jalia Palong,,CXB-011,Coxs_Bazar,,Ukhia
20.86594614,92.29355792,Islamabad,,,,Islamabad,Teknaf Paurashava,,CXB-061,Coxs_Bazar,,Teknaf
20.88228797,92.27092582,Jahaliyapara,,,,Jahaliyapara,Teknaf,,CXB-086,Coxs_Bazar,,Teknaf
21.27493679,92.08235531,Jommapara (Jummapara),,,,Jommapara (Jummapara),Jalia Palong,,CXB-013,Coxs_Bazar,,Ukhia
21.06883895,92.14429491,Jumpara,,,,Jumpara,Baharchhara,,CXB-014,Coxs_Bazar,,Teknaf
21.074683,92.220646,Kanjerpara,,,,Kanjerpara,Whykong,,CXB-015,Coxs_Bazar,,teknaf
21.1341729,92.18050789,Kathakhali,,,,Kathakhali,Whykong,,CXB-091,Coxs_Bazar,,Teknaf
21.13499215,92.16108101,Kerontoli,,,,Kerontoli,Whykong,,CXB-048,Coxs_Bazar,,Teknaf
20.80126197,92.31157804,Kochubunia,,,,Kochubunia,Sabrang,,CXB-049,Coxs_Bazar,,Teknaf
21.100804,92.209113,Lambabeel,,,,Lambabeel,Whykong,,CXB-002,Coxs_Bazar,,teknaf
20.87647445,92.26631807,Languirbill,,,,Languirbill,Teknaf,,CXB-090,Coxs_Bazar,,Teknaf
21.24160547,92.16315313,Lombaguna,,,,Lombaguna,Raja Palong,,CXB-018,Coxs_Bazar,,Ukhia
20.87205969,92.2577193,Lombori,,,,Lombori,Teknaf,,CXB-059,Coxs_Bazar,,Teknaf
21.11689751,92.10674592,Madarbuniya,,,,Madarbuniya,Jalia Palong,,CXB-019,Coxs_Bazar,,Ukhia
21.235655,92.145435,Md. Alir Vita,,,,Md. Alir Vita,Raja Palong,,CXB-020,Coxs_Bazar,,Ukhia
21.20287131,92.04950012,Md. Shafir Beel,,,,Md. Shafir Beel,Jalia Palong,,CXB-021,Coxs_Bazar,,Ukhia
20.88625267,92.25347792,Mitapanir chora,,,,Mitapanir chora,Teknaf,,CXB-087,Coxs_Bazar,,Teknaf
21.13331118,92.19366516,Monirghona,,,,Monirghona,Whykong,,CXB-050,Coxs_Bazar,,Teknaf
21.31247984,92.09884439,Moriccha,,,,Moriccha,Haldia Palong,,CXB-051,Coxs_Bazar,,Ukhia
21.14862712,92.13193285,Mucharkula,,,,Mucharkula,Palong Khali,,CXB-022,Coxs_Bazar,,Ukhia
20.87886737,92.29729918,Naitongpara,,,,Naitongpara,Teknaf Paurashava,,CXB-023,Coxs_Bazar,,Teknaf
21.064971,92.223951,Nayapara,,,,Nayapara,Whykong,,CXB-024,Coxs_Bazar,,teknaf
20.80849397,92.31650235,Nayapara Teknaf (Entry point south near Sabrang and Mogpara),,,,Nayapara Teknaf (Entry point south near Sabrang and Mogpara),Sabrang,,CXB-052,Coxs_Bazar,,Teknaf
20.871061,92.294477,Pallanpara,,,,Pallanpara,Teknaf Paurashava,,CXB-026,Coxs_Bazar,,teknaf
21.012823,92.239857,Pankhali,,,,Pankhali,Nhilla,,CXB-027,Coxs_Bazar,,teknaf
21.26590769,92.08900567,Panneyesia,,,,Panneyesia,Jalia Palong,,CXB-028,Coxs_Bazar,,Ukhia
21.31201977,92.14420796,Patabari,,,,Patabari,Haldia Palong,,CXB-054,Coxs_Bazar,,Ukhia
21.26520973,92.10871477,Sadrikhata,,,,Sadrikhata,Ratna Palong,,CXB-055,Coxs_Bazar,,Ukhia
21.23890325,92.15300165,Seiler Chor (Seiler Chor T&T),,,,Seiler Chor (Seiler Chor T&T),Raja Palong,,CXB-031,Coxs_Bazar,,Ukhia
20.77100603,92.3298981,Shahporir Dwip,,,,Shahporir Dwip,Sabrang,,CXB-045,Coxs_Bazar,,Teknaf
21.10888928,92.11756922,Shapotkhali,,,,Shapotkhali,Jalia Palong,,CXB-033,Coxs_Bazar,,Ukhia
21.040176,92.173342,Shilkhali (Boat landing point on Marine drive),,,,Shilkhali (Boat landing point on Marine drive),Baharchhara,,CXB-034,Coxs_Bazar,,teknaf
21.27857073,92.06848543,Sonaichori,,,,Sonaichori,Jalia Palong,,CXB-056,Coxs_Bazar,,Ukhia
21.28760379,92.15977185,Tulatuli,,,,Tulatuli,Ratna Palong,,CXB-060,Coxs_Bazar,,Ukhia
21.000754,92.237769,Uluchamri,,,,Uluchamri,Nhilla,,CXB-035,Coxs_Bazar,,teknaf
21.091473,92.212412,Unchingprang Chiallapara,,,,Unchingprang Chiallapara,Whykong,,CXB-036,Coxs_Bazar,,teknaf
