latitude,longitude,altitude,geometry,FID,OBJECTID,PROV_34_NA,DIST_34_NA,DISTID,PROVID
34.08823473,70.44382488,,Point,1,135,Nangarhar,Deh Bala,808,8
35.13320285,61.56999572,,Point,2,1,Hirat,Gulran,2007,20
35.00560969,62.23610363,,Point,3,2,Hirat,Koshk,2006,20
34.29081721,70.371911,,Point,4,136,Nangarhar,Chaparhar,806,8
34.88818374,62.62807763,,Point,5,3,Hirat,Koshki Kohna,2016,20
34.08718132,70.28054807,,Point,6,137,Nangarhar,Pachier Agam,807,8
34.61316023,61.16552123,,Point,7,4,Hirat,Kohsan,2008,20
34.22339153,70.12188613,,Point,8,138,Nangarhar,Khogayani,805,8
34.19415827,69.98014622,,Point,9,139,Nangarhar,Shirzad,804,8
34.17872622,61.15569732,,Point,10,5,Hirat,Ghoryan,2009,20
34.28164514,69.77014904,,Point,11,140,Nangarhar,Hesarak,803,8
34.36927574,61.81919626,,Point,12,6,Hirat,"Zanda  Jan
",2010,20
34.10904327,69.62449923,,Point,13,141,Logar,Azra,506,5
34.03833213,62.04427241,,Point,14,7,Hirat,Guzara,2003,20
34.50477007,62.65694725,,Point,15,8,Hirat,Karukh,2005,20
33.97796436,69.67431548,,Point,16,142,Paktya,Ali Khail (Jaji),711,7
33.79095175,69.91029386,,Point,17,143,Paktya,Dand Patan,707,7
34.18346565,62.75605465,,Point,18,9,Hirat,Pashtun Zarghun,2004,20
33.78366315,69.79703711,,Point,19,144,Paktya,Chamkani,708,7
33.81524016,69.63380794,,Point,20,145,Paktya,Laja Ahmad Khail,709,7
33.71244621,69.47972678,,Point,21,146,Paktya,Sayed Karam,710,7
33.77379561,69.33981346,,Point,22,147,Paktya,Ahmad Abad,705,7
34.36057985,63.25042747,,Point,23,10,Hirat,Obe,2012,20
33.65535659,69.78657803,,Point,24,148,Paktya,Jani Khail,706,7
33.84632556,63.28530238,,Point,25,11,Hirat,Farsi,2013,20
33.60133785,69.24159109,,Point,26,149,Paktya,Gardiz,701,7
33.42320033,69.04156501,,Point,27,150,Paktya,Zurmat,702,7
33.01160747,61.2505649,,Point,28,12,Farah,Anar Dara,2107,21
33.45356306,69.37680055,,Point,29,151,Paktya,Shawak,703,7
32.39664516,61.33052177,,Point,30,13,Farah,Qala Ka,2108,21
32.75516677,62.07312412,,Point,31,14,Farah,Khaki Safed,2106,21
33.24418803,62.35964701,,Point,32,15,Hirat,Shindand,2014,20
33.37271493,69.40647535,,Point,33,152,Paktya,Zadran,704,7
33.64053189,70.07893581,,Point,34,153,Khost,Jaji Maidan,3202,32
33.53006233,70.07681733,,Point,35,154,Khost,Bak,3210,32
32.11216506,61.38885156,,Point,36,16,Farah,Shib Koh,2110,21
33.54351638,69.91180008,,Point,37,155,Khost,Sabri,3209,32
31.72431487,61.32214384,,Point,38,17,Farah,Lash Wa Juwayn,2109,21
33.38351459,70.19070216,,Point,39,156,Khost,Tere Zayi,3207,32
32.48932429,62.06523613,,Point,40,18,Farah,Pusht Rod,2111,21
33.57045872,69.66883692,,Point,41,157,Khost,Mosa Khail,3205,32
32.24752573,62.23573403,,Point,42,19,Farah,Farah,2101,21
33.49186924,69.65871721,,Point,43,158,Khost,Qalandar,3212,32
32.77185139,62.75306638,,Point,44,20,Farah,Bala Buluk,2105,21
33.38193021,69.68456504,,Point,45,159,Khost,Nadir Shah Kot,3208,32
32.64211518,63.59695896,,Point,46,21,Farah,Gulistan,2103,21
33.33946468,70.00671014,,Point,47,160,Khost,Khost(Matun),3201,32
33.21473739,69.95867155,,Point,48,161,Khost,Gurbuz,3211,32
33.15167118,63.84251555,,Point,49,22,Farah,Pur Chaman,2104,21
33.31804109,69.77660386,,Point,50,162,Khost,Mando Zayi,3206,32
33.18574299,69.74631186,,Point,51,163,Khost,Tani,3203,32
36.65476486,68.56603567,,Point,52,268,Kunduz,Chahar Dara,1404,14
32.21682956,62.88272975,,Point,53,23,Farah,Bakwa,2102,21
33.31532565,69.53211862,,Point,54,164,Khost,Shamal,3213,32
36.79583504,68.85704853,,Point,55,269,Kunduz,Kunduz,1401,14
33.15658849,69.49122026,,Point,56,165,Khost,Spira,3204,32
36.22945885,69.57477229,,Point,57,270,Baghlan,Guzargahi Nur,1314,13
34.21041453,69.18022126,,Point,58,166,Logar,Mohammad Agha,505,5
34.00107745,69.27685125,,Point,59,167,Logar,Khoshi,504,5
36.1356663,69.68055581,,Point,60,271,Baghlan,Farang Wa Gharu,1313,13
33.97374364,69.05159099,,Point,61,168,Logar,Puli Alam,501,5
35.90472107,69.6647863,,Point,62,272,Baghlan,Khost Wa Firing,1308,13
33.92985393,68.88619449,,Point,63,169,Logar,Baraki Barak,503,5
35.58240232,69.56010577,,Point,64,273,Baghlan,Puli Hisar,1302,13
33.81674469,68.91839593,,Point,65,170,Logar,Charkh,502,5
33.69495385,68.89280272,,Point,66,171,Logar,Kharwar,507,5
36.23337821,69.15882357,,Point,67,274,Baghlan,Burka,1310,13
34.61283546,70.93852111,,Point,68,172,Kunar,Khas Kunar,1014,10
34.6930639,70.73130741,,Point,69,173,Kunar,Nurgal,1013,10
35.74352256,69.36363246,,Point,70,275,Baghlan,Dih Salah,1312,13
34.74074977,70.86359798,,Point,71,174,Kunar,Chawkay,1012,10
35.97020614,69.29488501,,Point,72,276,Baghlan,Khwaja Hijran (Jilga Nahrin),1315,13
34.79964284,71.00353452,,Point,73,175,Kunar,Narang,1011,10
31.30805383,61.83817908,,Point,74,24,Nimroz,Kang,2202,22
36.32488207,68.62339976,,Point,75,277,Baghlan,Baghlani Jadid,1311,13
34.96032884,70.70306659,,Point,76,176,Kunar,Chapa Dara,1009,10
30.93219233,62.00355981,,Point,77,25,Nimroz,Zaranj,2201,22
34.86834429,71.13003395,,Point,78,177,Kunar,Asadabad,1001,10
36.00829033,68.66250692,,Point,79,278,Baghlan,Puli Khumri,1301,13
34.75039927,71.11827113,,Point,80,178,Kunar,Sarkani,1015,10
30.20558194,62.10448491,,Point,81,26,Nimroz,Chahar Burjak,2203,22
35.98750821,69.02256265,,Point,82,279,Baghlan,Nahrin,1309,13
34.86187117,71.22873425,,Point,83,179,Kunar,Marawara,1002,10
31.34272634,62.45550497,,Point,84,27,Nimroz,Chakhansur,2204,22
35.62844987,69.17719705,,Point,85,280,Baghlan,Andarab,1307,13
35.47093337,68.9728684,,Point,86,281,Baghlan,Khinjan,1306,13
35.03514711,71.22539501,,Point,87,180,Kunar,Shaygal wa shital,1007,10
31.74989668,62.94004511,,Point,88,28,Nimroz,Khash Rod,2205,22
35.61526772,68.65967054,,Point,89,282,Baghlan,Dushi,1304,13
34.95454969,70.91427212,,Point,90,181,Kunar,Dara-I-Pech,1010,10
29.88864659,63.12904883,,Point,91,29,Hilmand,Dishu,2310,23
35.81834963,68.46213433,,Point,92,283,Baghlan,Dahana-I- Ghuri,1303,13
34.99847582,71.08197547,,Point,93,182,Kunar,Wata Pur,1008,10
30.15139965,63.87929958,,Point,94,30,Hilmand,Reg(Khanshin),2313,23
35.27393934,68.37771217,,Point,95,284,Baghlan,Tala Wa Barfak,1305,13
35.00040169,71.43766997,,Point,96,183,Kunar,Dangam,1004,10
30.85292166,64.13167542,,Point,97,31,Hilmand,Garmser,2311,23
35.07227493,71.37383714,,Point,98,184,Kunar,Bar Kunar,1003,10
35.64963371,70.04502042,,Point,99,285,Panjsher,Paryan,3304,33
31.34386907,64.09874117,,Point,100,32,Hilmand,Nawa-I- Barak Zayi,2309,23
35.23383675,71.33074031,,Point,101,185,Kunar,Ghaziabad,1006,10
35.42963116,69.78430961,,Point,102,286,Panjsher,Khenj (Hese- Awal),3303,33
31.62594136,63.86144502,,Point,103,33,Hilmand,Nad Ali,2308,23
35.26690628,71.54060053,,Point,104,186,Kunar,Nari,1005,10
33.15834161,69.32750597,,Point,105,187,Paktika,Ziruk,2912,29
31.82936267,64.60852563,,Point,106,34,Hilmand,Nahri Sarraj,2302,23
35.36949025,69.50604569,,Point,107,287,Panjsher,Bazarak,3301,33
31.5644278,64.55773987,,Point,108,35,Hilmand,Lashkar Gah,2301,23
33.20074861,69.23724123,,Point,109,188,Paktika,Nika,2913,29
35.23558997,69.77000452,,Point,110,288,Panjsher,Dara,3302,33
32.12037391,64.99432514,,Point,111,36,Hilmand,Sangin,2312,23
32.97520967,69.39577964,,Point,112,189,Paktika,Gayan,2910,29
35.25602884,69.47729382,,Point,113,289,Panjsher,Rukha,3307,33
32.48417977,65.03871349,,Point,114,37,Hilmand,Kajaki,2303,23
32.97517954,69.19242932,,Point,115,190,Paktika,Urgun,2911,29
35.2205952,69.40299934,,Point,116,290,Panjsher,Unaba,3306,33
32.46870837,64.47606045,,Point,117,38,Hilmand,Naw Zad,2306,23
33.06066548,69.03429735,,Point,118,191,Paktika,Sar Hawza,2914,29
35.29401888,69.3027109,,Point,119,291,Panjsher,Shutul,3305,33
32.46581651,64.73756618,,Point,120,39,Hilmand,Musa Qala,2304,23
33.29540923,68.88825349,,Point,121,192,Paktika,Mata Khan,2915,29
34.92725701,69.81147394,,Point,122,292,Kapisa,Alasay,206,2
33.2008409,68.72572862,,Point,123,193,Paktika,Sharan,2901,29
33.01631532,65.04411016,,Point,124,40,Hilmand,Baghran,2305,23
34.79716919,69.67922973,,Point,125,293,Kapisa,Tagab,205,2
32.71341161,69.27636953,,Point,126,194,Paktika,Barmal,2909,29
30.1221567,65.18103263,,Point,127,41,Kandahar,Registan,2409,24
32.75172335,69.04726679,,Point,128,195,Paktika,Sarobi,2908,29
35.01368025,69.39984102,,Point,129,294,Kapisa,Mahmudi Raqi,201,2
30.17936162,66.05106432,,Point,130,42,Kandahar,Shorabak,2410,24
32.89110976,68.80719479,,Point,131,196,Paktika,Omna,2907,29
33.04931176,68.64127466,,Point,132,197,Paktika,Yosuf Khel,2919,29
35.07246188,69.33996847,,Point,133,295,Kapisa,Hisa-i-Duwumi Kohistan,207,2
30.98806673,66.169663,,Point,134,43,Kandahar,Spin Boldak,2411,24
32.92450615,68.66006497,,Point,135,198,Paktika,Yahya Khel,2918,29
35.1375173,69.34444007,,Point,136,296,Kapisa,Hisa-i-Awali Kohistan,202,2
31.51973883,66.5526138,,Point,137,44,Kandahar,Arghistan,2412,24
32.85469258,68.47691511,,Point,138,199,Paktika,Zarghun Shahr,2902,29
31.07287492,65.1580148,,Point,139,45,Kandahar,Panjwayi,2408,24
35.27398371,69.15827449,,Point,140,297,Parwan,Salang,303,3
31.50244854,65.71484765,,Point,141,46,Kandahar,Kandahar,2401,24
35.12134332,69.18437301,,Point,142,298,Parwan,Jabalussaraj,302,3
32.66830031,68.47999091,,Point,143,200,Paktika,Jani Khel,2916,29
31.21151421,65.78306977,,Point,144,47,Kandahar,Daman,2402,24
34.75961679,69.4717403,,Point,145,299,Parwan,Kohi Safi,309,3
32.56375778,68.1311467,,Point,146,201,Paktika,Dila,2903,29
32.08045512,66.00735821,,Point,147,48,Kandahar,Shah Wali Kot,2403,24
32.25213668,68.32630564,,Point,148,202,Paktika,Waza Khwa,2904,29
34.92793646,69.33320671,,Point,149,300,Parwan,Bagram,308,3
35.04534903,69.26487896,,Point,150,301,Parwan,Sayd Khel,310,3
31.75676303,65.64748618,,Point,151,49,Kandahar,Arghandab,2404,24
32.38957425,68.94548973,,Point,152,203,Paktika,Gomal,2906,29
31.5818997,64.99307986,,Point,153,50,Kandahar,Maywand,2407,24
34.9844845,69.1341197,,Point,154,302,Parwan,Chaharikar,301,3
32.04389843,65.1956612,,Point,155,51,Kandahar,Ghorak,2406,24
31.90618932,68.31362938,,Point,156,204,Paktika,Turwo,2917,29
35.11935651,68.97096102,,Point,157,303,Parwan,Shinwari,304,3
31.6404541,65.39759072,,Point,158,52,Kandahar,Zhari,2416,24
31.93416452,68.83466095,,Point,159,205,Paktika,Wor Mayi,2905,29
35.01038862,68.787686,,Point,160,304,Parwan,Sia Gird ( Ghorbund),305,3
32.0052132,65.50090181,,Point,161,53,Kandahar,Khakrez,2405,24
32.32691333,67.89754309,,Point,162,206,Ghazni,Nawa,610,6
34.76546759,68.62567937,,Point,163,305,Parwan,Surkhi Parsa,307,3
34.92484862,62.90345867,,Point,164,54,Badghis,Ab Kamari,1902,19
34.94698093,68.41761291,,Point,165,306,Parwan,Shekh  Ali,306,3
32.71366596,67.6549779,,Point,166,207,Ghazni,Gelan,609,6
35.17886764,63.0907097,,Point,167,55,Badghis,Muqur,1907,19
37.13247047,67.5268306,,Point,168,307,Balkh,Kaldar,1613,16
32.94512705,67.78346259,,Point,169,208,Ghazni,Muqur,608,6
37.06246944,66.80136883,,Point,170,308,Balkh,Dawlatabad,1605,16
34.82139361,63.13918446,,Point,171,56,Badghis,Qala-I- Naw,1901,19
32.58469641,65.465693,,Point,172,57,Uruzgan,Dihrawud,2605,26
32.88362999,68.06357015,,Point,173,209,Ghazni,Ab Band,611,6
36.84090031,67.17488986,,Point,174,309,Balkh,Nahri Shahi,1602,16
33.06371193,68.34456191,,Point,175,210,Ghazni,Giro,612,6
32.92090929,65.47415295,,Point,176,58,Uruzgan,Shahidi Hassas,2604,26
36.70992994,67.11569625,,Point,177,310,Balkh,Mazari Sharif,1601,16
33.30584289,68.44696338,,Point,178,211,Ghazni,Andar,614,6
32.38192292,65.70385152,,Point,179,59,Kandahar,Nesh,2415,24
35.10575041,69.47341595,,Point,180,311,Kapisa,Koh Band,203,2
33.47293175,68.65775785,,Point,181,212,Ghazni,Dih Yak,615,6
34.81797315,63.58680902,,Point,182,60,Badghis,Qadis,1903,19
35.04224287,69.63336655,,Point,183,312,Kapisa,Nijrab,204,2
33.67871457,68.66671161,,Point,184,213,Ghazni,Zana Khan,616,6
36.64254929,67.33752394,,Point,185,313,Balkh,Marmul,1615,16
34.00821879,63.71568812,,Point,186,61,Ghor,Tulak,2703,27
36.37621228,67.23003383,,Point,187,314,Balkh,Chahar Kint,1611,16
33.53410612,68.44037392,,Point,188,214,Ghazni,Ghazni,601,6
33.58223085,63.67462002,,Point,189,62,Ghor,Saghar,2704,27
36.30487292,66.86108864,,Point,190,315,Balkh,Sholgara,1609,16
33.67546922,68.42172271,,Point,191,215,Ghazni,Khwaja Umari,603,6
36.63687627,67.00734729,,Point,192,316,Balkh,Dihdadi,1612,16
33.69644859,68.14658417,,Point,193,216,Ghazni,Rashidan,617,6
32.67904931,65.91208672,,Point,194,63,Uruzgan,Tirin Kot,2601,26
36.81261082,66.88942693,,Point,195,317,Balkh,Balkh,1606,16
36.69989767,66.33085551,,Point,196,64,Jawzjan,Fayzabad,1708,17
33.57229224,68.28935395,,Point,197,217,Ghazni,Wali Muhammadi Shahid,619,6
36.83762755,66.63931499,,Point,198,318,Balkh,Chahar Bolak,1607,16
37.05857039,65.98698267,,Point,199,65,Jawzjan,Mangajek,1704,17
33.41402504,68.20765752,,Point,200,218,Ghazni,Waghaz,618,6
